Diver,Date,Board,Place,Competitors Count,Final Score,Z-Score,Mean,Standard Deviation
Max Valasek,06-13-2014,12-13 Boys 3m J.O,1,15,306.85,1.94,223.45,42.96
Max Valasek,04-25-2014,12-13 Boys 1m J.O,7,25,247.5,0.81,226.24,26.18
Max Valasek,04-25-2014,12-13 Boys 3m J.O,5,23,274.4,1.09,244.21,27.58
Max Valasek,03-07-2014,12-13 Boys 1m J.O,2,9,239.3,0.81,223.89,19.0
Max Valasek,03-07-2014,12-13 Boys 3m J.O,3,10,275.75,0.82,234.49,50.46
Max Valasek,02-15-2014,12-13 Boys 1m J.O,5,10,241.6,0.6,220.41,35.57
Max Valasek,02-15-2014,12-13 Boys 3m J.O,3,11,247.9,0.96,217.02,32.21
Max Valasek,12-13-2013,12-13 Boys 1m J.O,2,9,239.4,0.46,218.22,46.01
Max Valasek,12-13-2013,12-13 Boys 3m J.O,3,9,261.15,0.35,241.48,56.82
Max Valasek,12-13-2013,12-13 Boys Platform J.O,4,7,202.95,-0.12,210.47,63.13
Max Valasek,07-31-2013,12-13 Boys 3m J.O,4,22,262.05,0.94,232.7,31.32
Max Valasek,07-31-2013,12-13 Boys 3m J.O,8,12,258.15,-0.23,264.1,26.31
Max Valasek,07-31-2013,12-13 Boys Platform J.O,2,14,250.55,1.53,206.38,28.92
Max Valasek,07-31-2013,12-13 Boys Platform J.O,3,12,257.35,1.29,216.89,31.31
Max Valasek,07-11-2013,12-13 Boys 1m J.O,16,28,217.5,-0.32,230.42,39.76
Max Valasek,07-11-2013,12-13 Boys 3m J.O,12,27,247.2,0.31,231.17,51.11
Max Valasek,07-11-2013,12-13 Boys Platform J.O,9,17,221.95,-0.13,227.4,43.32
Max Valasek,06-07-2013,12-13 Boys 1m J.O,7,19,231.3,0.69,199.16,46.79
Max Valasek,06-07-2013,12-13 Boys 3m J.O,7,16,236.75,0.21,226.96,46.76
Max Valasek,05-24-2013,12-13 Boys 1m J.O,5,13,196.2,0.37,183.37,34.81
Max Valasek,05-24-2013,12-13 Boys 3m J.O,6,11,202.2,-0.55,230.26,50.74
Max Valasek,05-24-2013,12-13 Boys Platform J.O,2,6,215.75,0.31,204.65,35.46
Max Valasek,03-16-2013,12-13 Boys 1m J.O,10,21,199.6,0.02,199.0,35.87
Max Valasek,03-16-2013,12-13 Boys 3m J.O,15,20,165.25,-0.83,207.11,50.18
Max Valasek,08-01-2012,11 & Under Boys 1m J.O,13,25,154.55,-0.13,157.63,23.79
Max Valasek,08-01-2012,11 & Under Boys 3m J.O,12,21,150.5,-0.17,153.74,18.91
Max Valasek,08-01-2012,11 & Under Boys 3m J.O,8,12,164.95,-0.54,175.03,18.53
Max Valasek,08-01-2012,11 & Under Boys Platform J.O,2,7,146.1,0.87,125.03,24.33
Max Valasek,08-01-2012,11 & Under Boys Platform J.O,2,7,157.1,0.83,133.03,29.05
Max Valasek,07-12-2012,11 & Under Boys 1m J.O,16,23,124.65,-0.42,138.01,31.94
Max Valasek,07-12-2012,11 & Under Boys 3m J.O,15,20,138.05,-0.51,154.74,33.04
Max Valasek,07-12-2012,11 & Under Boys Platform J.O,8,14,119.05,-0.05,120.88,35.36
Max Valasek,06-08-2012,11 & Under Boys 1m J.O,5,20,171.65,0.7,146.72,35.83
Max Valasek,06-08-2012,11 & Under Boys 3m J.O,3,14,183.15,0.88,148.21,39.61
Max Valasek,01-28-2012,11 & Under Boys 1m J.O,6,6,138.0,-1.08,156.3,16.98
Max Valasek,01-28-2012,11 & Under Boys 3m J.O,2,7,157.85,0.76,147.79,13.27
Max Valasek,07-07-2011,11 & Under Boys 1m J.O,15,16,126.5,-1.44,171.65,31.35
Max Valasek,06-17-2011,11 & Under Boys 1m J.O,13,23,129.25,-0.32,144.86,48.88
